하라, 73, 167
하타, 92, 146
타다, 43, 179
타바, 56, 152
라마, 43, 176
가자, 60, 165
타카, 76, 178
나카, 71, 151
하가, 77, 141
타가, 71, 166
라타, 41, 177
자바, 57, 152
카다, 89, 190
가다, 78, 142
가차, 70, 158
카다, 51, 187
차타, 60, 141
가라, 57, 146
라마, 86, 183
하자, 77, 149
가라, 97, 160
아마, 68, 160
하파, 40, 175
하하, 57, 155
바카, 98, 166
사타, 70, 198
파자, 75, 196
사사, 52, 180
바카, 87, 185
아타, 48, 160
바라, 70, 153
라라, 99, 160
바나, 92, 176
차카, 88, 154
자가, 54, 188
가사, 93, 153
카가, 79, 188
나타, 82, 140
나타, 41, 150
자가, 65, 148
다바, 70, 198
바다, 62, 158
라나, 61, 159
아카, 65, 186
카마, 64, 178
바다, 93, 185
가아, 49, 186
아자, 58, 152
바하, 91, 185
라사, 61, 146
타나, 53, 165
아차, 44, 148
가다, 75, 193
나아, 70, 178
마사, 83, 173
타카, 47, 193
카타, 90, 142
차마, 78, 153
자다, 89, 185
아하, 48, 165
파바, 61, 156
자타, 81, 163
라자, 74, 159
바자, 62, 177
아차, 83, 181
사파, 78, 186
차바, 55, 190
나카, 74, 144
하가, 93, 168
마타, 72, 197
라바, 46, 164
차나, 75, 197
마바, 91, 158
나타, 58, 169
파라, 69, 142
타카, 58, 168
하나, 81, 160
가나, 71, 159
타카, 68, 193
아가, 91, 170
가파, 50, 197
가자, 41, 145
자나, 80, 181
카타, 67, 186
바하, 58, 147
가파, 87, 157
사카, 48, 189
가자, 95, 160
사나, 76, 143
라타, 89, 161
카사, 69, 159
바아, 59, 155
바바, 76, 158
가다, 93, 173
라타, 76, 157
차타, 96, 187
바가, 71, 181
마파, 78, 171
가타, 62, 193
마사, 76, 184
아바, 87, 155
마자, 83, 161
라마, 69, 161
바나, 65, 149
타차, 97, 182
카나, 49, 165
나자, 90, 199
파자, 50, 153
다라, 56, 167
자나, 76, 184
사자, 95, 153
다나, 99, 160
사타, 96, 151
자다, 62, 161
다자, 47, 192
가타, 77, 151
파마, 62, 157
카바, 89, 169
하카, 90, 140
가마, 51, 190
하자, 65, 173
다카, 78, 144
나자, 42, 199
자아, 56, 154
라바, 49, 182
차카, 56, 173
차가, 96, 178
마타, 64, 151
마카, 41, 197
파타, 71, 197
사하, 71, 157
카하, 94, 167
자카, 41, 151
카하, 97, 154
타차, 94, 149
바하, 62, 155
마타, 84, 166
카차, 98, 168
마카, 71, 187
차자, 43, 145
파사, 48, 182
하나, 79, 199
마타, 70, 148
카가, 99, 168
하마, 42, 166
하하, 68, 183
사자, 99, 169
차바, 98, 146
나바, 44, 147
하마, 84, 192
마마, 84, 141
아카, 86, 191
나라, 72, 188
차자, 66, 163
사사, 98, 183
사차, 44, 179
자자, 87, 175
나마, 55, 174
바가, 45, 180
차바, 70, 177
나다, 46, 172
사바, 60, 159
바타, 53, 170
나마, 86, 196
사자, 77, 182
타다, 40, 149
바파, 62, 181
하차, 41, 176
차파, 60, 188
카하, 41, 161
마카, 92, 177
카다, 58, 167
사카, 41, 142
아하, 96, 148
바차, 43, 181
나가, 91, 181
가하, 65, 196
나자, 76, 193
파마, 78, 189
카마, 77, 169
차자, 98, 169
라자, 78, 148
마가, 50, 156
자파, 51, 190
마마, 87, 150
라파, 83, 189
하사, 54, 161
나차, 53, 158
라라, 45, 148
파마, 99, 148
마타, 56, 172
타라, 79, 180
타라, 71, 152
아타, 56, 174
라카, 87, 186
타라, 49, 150
차타, 84, 162
차타, 95, 151
라사, 96, 197
나마, 53, 166
마자, 43, 161
파다, 89, 195
가다, 80, 174
하마, 46, 144
나다, 44, 183
다카, 69, 160
가가, 55, 173
파라, 71, 146
바라, 70, 161
마자, 91, 178
라파, 52, 195
다사, 52, 146
카아, 64, 143
가가, 91, 175
라카, 76, 157
카카, 64, 198
자타, 40, 140
다가, 71, 161
다하, 53, 192
타카, 50, 170
파카, 54, 147
사나, 74, 176
가사, 53, 145
가바, 88, 152
하차, 67, 187
나다, 73, 187
사자, 61, 176
라나, 92, 144
라마, 79, 151
하나, 59, 173
다가, 55, 142
자파, 46, 163
다마, 69, 174
가가, 99, 172
다파, 57, 168
카마, 83, 171
하하, 75, 160
파라, 81, 164
카아, 92, 183
아라, 64, 167
라마, 93, 181
자사, 58, 153
사카, 63, 188
사라, 97, 154
사타, 65, 198
타차, 72, 179
마카, 92, 172
차바, 46, 163
바타, 96, 194
아타, 72, 198
아아, 51, 193
아파, 66, 143
마카, 99, 183
가바, 90, 155
타바, 40, 149
라라, 55, 166
파차, 53, 188
라사, 47, 141
나가, 92, 151
아다, 79, 178
타아, 49, 195
차파, 92, 153
카가, 80, 177
아마, 73, 172
자파, 68, 174
라다, 77, 182
바바, 62, 182
아다, 66, 158
바파, 82, 198
차바, 68, 192
타파, 53, 194
차바, 96, 197
나파, 86, 198
바마, 61, 180
가다, 85, 142
라가, 41, 175
파다, 96, 146
차자, 68, 153
카라, 96, 190
나다, 43, 164
자자, 69, 164
나파, 63, 167
차하, 77, 147
사바, 59, 179
바다, 59, 168
타나, 86, 162
라라, 41, 169
카파, 83, 191
다나, 53, 141
파사, 88, 184
파나, 60, 154
아가, 49, 140
마가, 65, 191
사라, 76, 140
마가, 98, 141
